tahun,jenis_ikan,produksi_(kg),nilai_($us)
2019,Albakora,674090,2928280
2019,Alu-alu,12920,28289
2019,Ayam-ayam,282255,2033577
2019,Bandeng,5047574,6351801
2019,Banyar,76616,515360
2019,Bawal Hitam,1217016,10072325
2019,Bawal Putih,185835,1033484
2019,Belanak,134359,967186
2019,Belut,5780,6583
2019,Bentong,1507,63332
2019,Bilis,26412,55156
2019,Cakalang,24257288,29971487
2019,Cangkang Kerang Mutiara,2158,26531
2019,Cendro,42,13435
2019,Cucut Air,3263,11803
2019,Cucut Lanyam / Hiu,1419445,2059514
2019,Cumi-cumi,53059932,215361611
2019,Cunang,2184225,12931080
2019,Daun Bambu / Talang-talang,7930,12034
2019,Ekor Kuning,32404,148226
2019,Gabus,278938,2123732
2019,Gerot-gerot,47650,150695
2019,Gulamah / Tiga Waja,2651133,15089874
2019,Gurita,817730,4320112
2019,Ikan Asin,40776,101896
2019,Ikan Gaji,27456,399193
2019,Ikan Gindara,1371229,11678409
2019,Ikan Kadal,8156,8716
2019,Ikan Layaran,213110,652935
2019,Ikan Lidah,5919,24059
2019,Ikan Pedang / Meka,2196790,15176700
2019,Ikan Sebelah,187525,653638
2019,Jenaha,5490,132538
2019,Julung-julung,255,4613
2019,Kaca Piring,55395,505993
2019,Kacang-kacang,5426,129384
2019,Kaci-kaci,87930,790383
2019,Kakak Tua,830083,5003739
2019,Kakap Merah,834969,4299731
2019,Kakap Putih,127532,1904949
2019,Kakap Sawo,236,1292
2019,Kapas-kapas,22500,39258
2019,Kembung,1049080,1816863
2019,Kepala Ikan,12401,19687
2019,Kepiting,36793,135950
2019,Kerang Darah,293461,562936
2019,Kerapu Balong,14613,598596
2019,Kerapu Lodi,784,20462
2019,Kerapu Lumpur,608364,4319129
2019,Kerapu Sunu,33841,1796547
2019,Kerupuk Udang,10000,17069
2019,Kulit Ikan,45342,111884
2019,Kulit Pari Burung,500,2566
2019,Kulit Udang,179100,73527
2019,Kuniran,4903,34405
2019,Kurisi,719102,8396187
2019,Kuro / Senangin,1676352,5371250
2019,Kuwe,218479,3173735
2019,Layang Benggol,4664870,6971039
2019,Layur,8161101,21734679
2019,Lemadang,915938,3819724
2019,Lemuru,11,31
2019,Lencam,232108,3884000
2019,Lobster,1612,3174
2019,Lola / Susu Bundar,20875,29918
2019,Madidihang / Tuna,7102955,51756074
2019,Makerel,209207,449688
2019,Manyung,133359,261997
2019,Nike,3150,3125
2019,Nila,116540,303203
2019,Nyunglas,857179,2525904
2019,Paha Kodok,149028,886454
2019,Pari Burung,31292,45926
2019,Patin,285858,611234
2019,Rajungan,8700,41670
2019,Rumput Laut,11001,89694
2019,Salmon,91254,1326986
2019,Samgeh,6445421,10588871
2019,Seafood,3000,6610
2019,Selar Kuning,66081,288337
2019,Setuhuk Hitam / Marlin,945620,6053969
2019,Sidat,653158,3216802
2019,Simping,2015,8257
2019,Sirip Cucut Lanyam / Hiu,40457,292177
2019,Sotong,5997731,48163162
2019,Swanggi,183256,397574
2019,Telur Ikan,22211,69770
2019,Tembang,258640,293162
2019,Tenggiri,4231362,13622305
2019,Tenggiri Papan,10191,56584
2019,Tongkol Krai,216265,314748
2019,Trisi,645,46959
2019,Tulang Ikan,500,16551
2019,Tuna Mata Besar / Big Eye,783449,6148172
2019,Tuna Sirip Biru Selatan,2275,301901
2019,Ubur-ubur,120662,129952
2019,Udang,11381696,93396678
2019,Udang Kipas,12166,151075
2019,Udang Putih,301198,2768362
2019,Udang Vaname,6652485,59921203
2019,Udang Windu,624528,13155346
2018,Abalon,41502,57428
2018,Albakora,682095,2128103
2018,Alu-alu,28666,104803
2018,Ayam-ayam,329074,959505
2018,Bandeng,3359905,4660436
2018,Banyar,104000,198790
2018,Bawal Hitam,1657927,4522156
2018,Bawal Jepang,13032,195624
2018,Bawal Putih,30207,77053
2018,Belanak,46326,151160
2018,Belut,5,87
2018,Bilis,7490,7570
2018,Cakalang,20098157,29131898
2018,Cucut Air,4860,17346
2018,Cucut Biru,160406,189983
2018,Cucut Lanyam / Hiu,2389854,3377196
2018,Cumi-cumi,56138593,186985738
2018,Cunang,766235,1674783
2018,Ekor Kuning,1581,7229
2018,Gabus,209172,1241123
2018,Gulamah / Tiga Waja,2599447,5925397
2018,Gurita,959158,3547130
2018,Ikan Asin,16000,38953
2018,Ikan Gaji,15341,66771
2018,Ikan Ghol,6578,8564
2018,Ikan Gindara,1708029,10188391
2018,Ikan Layaran,110995,347628
2018,Ikan Lidah,48616,38377
2018,Ikan Pedang / Meka,3205908,19841329
2018,Ikan Sebelah,109048,429780
2018,Ikan Semampar,524505,3615358
2018,Julung-julung,413,14870
2018,Kaca Piring,25987,44206
